M,K,N,num_threads,dtype,qgemm_lut
8192,16384,1,4,int8,0.10910541999999998
8192,16384,1,16,int8,0.0349425
M,K,N,num_threads,dtype,qgemm_lut
8192,16384,1,4,float16,0.20127333
8192,16384,1,16,float16,0.06323000000000001
M,K,N,num_threads,dtype,qgemm_lut
8192,16384,1,4,float16,0.22662709
8192,16384,1,16,float16,0.06301917000000001
M,K,N,num_threads,dtype,qgemm_lut
8192,16384,1,4,float16,0.50223791
8192,16384,1,16,float16,0.13440375
M,K,N,num_threads,dtype,qgemm_lut
12288,4096,1,16,float16,0.04848833
4096,4096,1,16,float16,0.05393167
11008,4096,1,16,float16,0.04369125
4096,11008,1,16,float16,0.04331708
12288,4096,16,16,float16,0.67436417
4096,4096,16,16,float16,0.22912666999999998
11008,4096,16,16,float16,0.60923292
4096,11008,16,16,float16,0.5908229099999999
12288,4096,32,16,float16,1.2905729199999998
4096,4096,32,16,float16,0.50868125
M,K,N,num_threads,dtype,gemm
12288,4096,1,16,float16,0.22553166
4096,4096,1,16,float16,0.03119458
11008,4096,1,16,float16,0.16762584
4096,11008,1,16,float16,0.29906915999999995
12288,4096,16,16,float16,0.68434208
4096,4096,16,16,float16,0.20876207999999996
11008,4096,16,16,float16,0.62449917
4096,11008,16,16,float16,0.55676708
M,K,N,num_threads,dtype,gemm
8192,16384,1,16,int8,0.46936083000000006
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.05227708
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.05073834000000001
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.049002920000000005
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.05143708
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.049578330000000004
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.019207508300000002
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.019502500000000002
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.05090333
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.0190121292
M,K,N,num_threads,dtype,gemm
4096,4096,1,16,float16,0.030477725
M,K,N,num_threads,dtype,gemm
4096,4096,1,16,float16,0.0408373042
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.0195916667
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.04783916999999999
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.05191
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.04857999999999999
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.05848875
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,32,16,float16,0.44427166999999995
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,32,16,float16,0.454853959
M,K,N,num_threads,dtype,qgemm_lut
8192,16384,1,16,float16,0.102914958
M,K,N,num_threads,dtype,qgemm_lut
8192,16384,1,16,float16,0.117718084
M,K,N,num_threads,dtype,qgemm_lut
8192,16384,1,16,float16,0.118247041
M,K,N,num_threads,dtype,qgemm_lut
8192,16384,1,16,float16,0.12262383300000002
M,K,N,num_threads,dtype,gemm
8192,16384,1,16,float16,1.0584757919999999
M,K,N,num_threads,dtype,gemm
8192,16384,1,16,float16,1.0607851250000002
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.024456875
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.023003958
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.022676666
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.022444666999999998
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.022775749999999997
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.022608332999999998
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.023244834000000002
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.024017583999999998
M,K,N,num_threads,dtype,qgemm_lut
4096,4096,1,16,float16,0.025819834
